texto,rotulo_masculino,rotulo_feminino
word290 word343 word473 word135 word83 word391 word47 word392 word206 word385 word381 word77 word259 word437 word92 word422 word435 word399 word100 word383 word195 word192 word68 word389 word242 word90 word345 word10 word264 word268 word320 word118 word250 word59 word195 word475 word50 word407 word296 word378 word97 word462 word127 word246 word87 word479 word77 word377 word204 word483,neutra,neutra
word421 word249 word379 word181 word191 word487 word139 word78 word407 word373 word336 word50 word85 word183 word183 word4 word481 word438 word317 word111 word334 word339 word251 word133 word100 word479 word493 word402 word172 word287 word119 word350 word405 word175 word30 word55 word361 word196 word453 word41 word173 word330 word219 word208 word158 word333 word228 word85 word173,neutra,neutra
word199 word256 word172 word59 word440 word106 word435 word125 word16 word38 word395 word243 word409 word477 word467 word210 word495 word315 word285 word464,positiva,positiva
word315 word378 word277 word412 word259 word142 word258 word285 word402 word37 word429 word45 word408 word120 word46 word140 word53 word301 word288 word274 word269 word388 word279 word62 word54 word458 word439 word69 word242 word424 word270 word252 word354 word284 word456 word464 word351 word71 word323 word413 word100 word61 word103 word452 word393 word119 word17 word305 word191 word212 word78 word46 word93 word377 word13 word228 word301 word437 word17 word303 word62 word434 word43 word68,positiva,positiva
word284 word357 word47 word137 word130 word195 word117 word364 word432 word69 word458 word28 word335 word14 word46 word471 word397 word16 word478 word424 word456 word209 word158 word337 word227 word449 word241 word58 word472 word304 word305 word345 word130 word217 word14 word359 word377 word243 word481 word145 word379 word415 word394 word326 word103 word217 word358 word421 word64 word158 word162 word18 word216 word319 word49 word56 word347 word58 word155 word55 word487 word341 word19 word487 word151 word359 word368 word108 word47 word207 word363 word450 word483 word435,neutra,neutra
word230 word216 word244 word9 word250 word200 word334 word79 word245 word190 word86 word485 word271 word262 word1 word20 word489 word420 word130 word326 word258 word131 word7 word340 word241 word192 word425 word310 word297 word115 word389 word473 word102 word338 word319 word1 word25 word209 word430 word143 word197 word145 word149 word181 word55 word471 word363 word138 word209 word185 word65 word37 word112 word263 word76 word296 word178 word254 word1 word148 word364 word159 word324,positiva,positiva
word238 word203 word247 word235 word81 word356 word13 word327 word16 word481 word45 word321 word139 word326 word148 word355 word236 word191 word101 word105 word474 word250 word396 word446 word94 word220 word475 word298 word339 word453 word442 word133 word361 word155 word28 word282 word475 word116 word305 word234 word405,neutra,neutra
word103 word183 word184 word13 word380 word232 word150 word263 word24 word189 word133 word50 word446 word183 word26 word499 word138 word11 word296 word102 word11 word112 word94 word260 word258 word461 word167 word209 word407 word45 word330 word205 word426 word359 word42 word285 word400 word451 word100 word444 word388 word356 word272 word425 word6 word42 word384 word441 word412 word356 word407 word253 word76 word42 word351 word268 word380 word480 word217 word64 word442 word179 word29 word275 word470 word216 word353 word484 word301 word488 word54 word366 word80 word194 word200 word13 word222 word193 word396 word369 word327 word240 word270 word298 word99 word220 word332 word104 word432 word377 word408,neutra,negativa
word304 word91 word39 word13 word388 word96 word109 word104 word354 word231 word43 word209 word88 word93 word174 word476 word126 word109 word47 word214 word92 word181 word409 word41 word259 word121 word77 word95 word269 word361 word18 word293 word171 word162 word465 word311 word52 word469 word36 word438 word187 word370 word248 word52 word488 word19 word396 word92 word139 word304 word357 word220 word99 word236 word207 word144 word493 word199 word303 word323,positiva,positiva
word146 word405 word368 word65 word228 word242 word8 word500 word304 word341 word43 word244 word181 word85 word155 word275 word23 word115 word306 word435 word299 word99 word104 word372 word51 word362 word112 word453 word244 word169 word72 word139,neutra,neutra
word204 word362 word299 word167 word201 word134 word211 word48 word126 word239 word7 word464 word453 word272 word385 word371 word37 word487 word211 word165 word125 word337 word192 word218 word214 word62 word328 word445 word381 word161 word66 word286 word239 word20 word188 word82 word363,negativa,negativa
word236 word56 word407 word360 word395 word110 word192 word392 word93 word350 word56 word60 word138 word39 word28 word49 word420 word125 word13 word480 word36 word101 word282 word86 word4 word223 word338 word448 word166 word383 word344 word383 word376 word471 word278 word130 word31 word375 word11 word476 word302 word96 word190 word453 word192 word486 word266 word424 word128 word238 word408 word355 word428 word112 word316 word446 word343 word145 word65,negativa,negativa
word361 word320 word222 word440 word226 word210 word396 word419 word71 word489 word360 word89 word262 word449 word366 word464 word188 word112 word452 word413 word422 word239 word476 word256 word150 word127 word392 word319 word480 word481 word397 word411 word402 word274 word333 word470 word446 word398 word139 word103 word242 word117 word214 word484 word17 word179 word224 word270 word490 word313 word349 word134 word114 word441 word132 word139 word365 word232 word458 word375 word92 word267 word99 word207 word8 word468 word370 word443 word405 word321 word93 word408 word158 word360 word99 word225 word340,neutra,neutra
word426 word86 word357 word434 word359 word31 word205 word193 word230 word181 word245 word40 word329 word423 word394 word157 word168 word158 word130 word82 word156 word175 word288 word88 word102 word248 word206 word89 word345 word288 word411,neutra,negativa
word470 word251 word468 word188 word383 word299 word69 word319 word326 word99 word193 word227 word451 word182 word420 word327 word93 word143 word203 word402 word492 word132 word472 word267 word134 word378 word179 word186 word444 word18 word463 word323 word401 word97 word34 word414 word403 word393 word424 word300 word351 word187 word347 word111 word409 word247 word71 word309 word432 word327 word212 word309 word108 word177 word427 word228 word19 word322 word418 word248 word209 word216 word201 word438 word257 word106 word476 word311 word271 word383 word469 word271 word121 word407 word245 word66 word430 word228 word370 word137 word194 word194 word146 word145 word489,positiva,positiva
word442 word300 word93 word65 word375 word174 word484 word310 word376 word235 word167 word237 word494 word7 word310 word43 word276 word340 word153 word43 word213 word201 word383 word155 word220 word153 word36 word226 word322 word121 word9 word339 word335 word181 word21 word434 word272 word194 word26 word428 word285 word481 word98 word430 word219 word327,neutra,negativa
word498 word44 word222 word429 word97 word36 word168 word435 word30 word282 word85 word357 word491 word121 word287 word248 word184 word253 word445 word273 word209 word354 word382 word24 word122 word225 word388 word393 word386 word419 word123 word294 word173 word143,positiva,positiva
word123 word337 word96 word1 word91 word428 word484 word433 word7 word120 word387 word350 word129 word179 word98 word422 word43 word183 word185 word53 word228 word161 word235 word464 word446 word358 word395 word200 word436 word1 word14 word478 word213 word378 word277 word34 word486 word474 word361 word270 word168 word378 word419 word170 word82 word404 word316 word137 word233 word115 word252 word493 word289 word49 word452 word4 word379 word176 word272 word431 word26 word70 word293 word406 word234 word231 word263 word426 word286,positiva,positiva
word18 word91 word303 word202 word484 word21 word156 word385 word14 word20 word244 word377 word457 word173 word445 word411 word122 word497 word184 word308 word68 word293 word338 word159 word49 word181 word295 word394 word393 word348 word476 word141 word18 word140 word72 word471 word242 word261 word263 word143 word195 word146 word294 word26 word422 word59 word52 word417 word149 word401 word107 word318 word59 word258 word448 word281 word425 word19,neutra,positiva
word258 word249 word245 word251 word123 word325 word474 word169 word435 word175 word269 word204 word325 word66 word315 word324 word59 word219 word498 word373 word266 word141 word236 word386 word218 word15 word302 word441 word138 word406 word232 word89 word463 word77 word136 word405 word469 word406 word110 word353 word301 word91 word424 word370 word406 word414 word190 word73 word173 word35 word210 word298 word133 word283 word198 word446,neutra,neutra
word87 word211 word463 word51 word63 word80 word343 word232 word366 word101 word129 word19 word357 word419 word447 word94 word81 word103 word369 word154 word269 word118 word342 word494 word279 word492 word363 word225 word475 word419 word268 word137 word226 word334 word229 word323 word108 word300 word445 word405 word7 word128 word353 word483 word267 word173 word416 word214 word247 word106 word83,positiva,positiva
word100 word116 word346 word74 word280 word269 word125 word116 word174 word181 word226 word157 word164 word71 word499 word222 word126 word145 word176 word461 word152 word182 word375 word479 word347 word498 word85 word364 word383 word121 word129 word463 word451 word6 word334 word183 word38 word417,neutra,neutra
word480 word99 word317 word123 word320 word287 word81 word495 word457 word10 word8 word405 word205 word315 word434 word197 word198 word30 word479 word401 word459 word20 word48 word457 word130 word293 word385 word132 word356 word54 word378 word281 word387 word265 word470 word215 word460 word458 word290 word43 word74 word350 word278 word326 word242 word130 word350 word194 word32 word106 word400 word204 word1 word245 word72 word432 word306 word397 word15 word53 word428,negativa,negativa
word425 word420 word377 word279 word171 word134 word495 word453 word427 word25 word18 word190 word141 word43 word334 word284 word146 word315 word444 word319 word441 word92 word179 word56 word155 word160 word111 word137 word232 word480 word468 word220 word481 word68 word302 word249 word482 word496 word323 word410 word392 word6 word464 word280 word432 word487 word94 word429 word269 word197 word25 word148 word118 word338 word367 word338 word66 word458 word301 word370 word175 word319 word76 word495 word461 word114 word111 word249 word439 word203 word147 word35 word487 word309 word26 word238 word14 word374 word45 word428 word216 word233 word193 word51 word427 word375 word214 word151 word440 word275 word338 word76 word439 word220 word348 word444 word187,negativa,negativa
word346 word473 word164 word268 word440 word3 word50 word413 word364 word472 word211 word461 word16 word168 word283 word379 word326 word298 word185 word138 word125 word422 word392 word402 word480 word401 word58 word362 word66 word428 word340 word202 word9 word432 word423 word105 word89 word89 word344 word6 word158 word379 word330 word103 word223 word402 word171 word33 word181 word184 word403 word87 word69 word380 word26 word413 word408 word6 word256 word182 word295 word260 word384,positiva,positiva
word68 word192 word404 word28 word270 word428 word226 word77 word223 word481 word372 word167 word284 word192 word89 word32 word137 word156 word250 word95 word17 word117 word471 word333 word311 word10 word80 word134 word432 word203 word116 word451 word220,neutra,neutra
word445 word445 word326 word334 word196 word90 word111 word368 word359 word145 word275 word179 word241 word326 word319 word477 word331 word464 word414 word153 word104 word75 word128 word199 word154 word56 word278 word345 word19 word159 word26 word426 word169 word484 word23 word47 word13 word217 word322 word194 word144 word73 word156 word77 word419 word169 word461 word287 word85 word416 word182 word482 word456 word315 word297 word112 word450 word230 word96 word438 word168 word378 word156 word421 word105 word193 word489 word330 word439 word132 word355 word382 word138 word431 word331 word270 word38 word396 word45 word401 word464 word163 word450 word331 word253 word169 word451,negativa,negativa
word375 word259 word346 word78 word339 word85 word380 word149 word201 word77 word361 word250 word53 word300 word302 word293 word294 word109 word365 word88 word166 word494 word267 word93 word173 word64 word428 word126 word368 word230 word105 word209 word62 word500 word240 word474 word61 word346 word12 word466 word137 word195 word74 word363 word386 word136 word372 word43 word402 word436 word39 word31 word142 word320 word359 word353 word477 word44 word188 word353 word483,negativa,positiva
word150 word397 word396 word10 word321 word224 word414 word264 word149 word278 word274 word194 word432 word172 word265 word451 word310 word26 word469 word350 word476 word356 word26 word34 word264 word138 word304 word183 word363 word242 word54 word462 word168 word119 word143 word81 word245 word402 word352 word358 word407 word62 word46 word87 word99 word295 word399 word53 word472 word192 word447 word476 word80 word16 word360 word487 word326 word194 word141 word108 word303 word265 word447 word290 word209 word475 word413 word165 word427 word342 word371 word320 word152 word455 word290 word432 word268 word151 word207 word255 word353 word377 word141 word343 word358 word96 word429 word370 word227 word193 word303 word314 word493 word389 word377 word461 word118 word5 word444 word352,negativa,negativa
word140 word297 word343 word432 word82 word448 word400 word208 word484 word407 word470 word423 word33 word24 word61 word311 word189 word84 word225 word479 word168 word186 word375 word72 word74 word385 word341 word153 word96 word53 word445 word174 word110 word458 word316 word51 word377,neutra,neutra
word154 word494 word182 word13 word189 word20 word339 word283 word386 word10 word188 word345 word19 word143 word103 word303 word241 word152 word272 word337 word188 word464 word210 word177 word388 word194 word177 word369 word415 word66 word310 word2 word317 word271 word60 word368 word43 word93 word226 word424 word480 word469 word286 word63 word280 word428 word14 word28 word142 word440 word108 word290 word78 word247 word473 word12 word184 word317 word361 word445 word296 word404 word240 word426 word263 word335 word377 word73 word68 word287 word471 word326 word220 word460 word47 word435 word58 word406 word24 word290 word319 word444 word403 word24 word64 word255 word148,neutra,positiva
word315 word21 word16 word465 word463 word269 word33 word182 word69 word411 word52 word65 word300 word414 word407 word335 word228 word467 word222 word272 word439 word18 word218 word273 word459 word308 word173 word56 word349 word438 word9 word497 word401 word283 word293,positiva,positiva
word371 word427 word97 word185 word488 word342 word358 word492 word500 word432 word189 word82 word300 word180 word446 word386 word349 word455 word415 word105 word381 word210 word329 word249 word72 word161 word133 word240 word78 word58 word461,neutra,positiva
word337 word262 word342 word338 word480 word412 word42 word74 word297 word319 word22 word220 word79 word235 word157 word327 word114 word290 word96 word130 word410 word109 word75 word473 word275,positiva,positiva
word190 word12 word91 word30 word213 word38 word341 word60 word294 word360 word143 word402 word180 word285 word112 word230 word444 word21 word145 word489 word499 word146,neutra,neutra
word416 word448 word85 word167 word384 word468 word72 word298 word485 word9 word281 word473 word481 word258 word275 word238 word20 word490 word233 word490 word221 word326 word17 word380 word89 word486 word196 word350 word84 word387 word87 word307 word338 word154 word440 word228 word448 word264 word465 word223 word421 word493 word121 word481 word411 word173 word4 word342 word128 word474 word480 word472,negativa,negativa
word183 word28 word330 word470 word247 word337 word22 word427 word467 word465 word472 word420 word96 word122 word250 word494 word379 word308 word420 word412 word334 word442 word420 word326 word137 word277 word320 word332 word61 word250 word478 word95 word296 word184 word260 word287 word155 word186 word409 word69 word326 word261 word115 word347 word8 word265 word271 word484 word249 word105 word263 word224 word328 word495 word371 word271 word165,neutra,neutra
word152 word35 word184 word286 word57 word222 word303 word163 word19 word370 word264 word282 word113 word488 word327 word30 word135 word67 word65 word292 word25 word37 word1 word399 word37 word141 word232 word136 word389 word188 word128 word201 word127 word257 word164 word35 word194 word191 word104 word23 word265 word290 word430 word462 word384 word260 word414 word479 word358 word75 word355 word72 word259 word398 word188 word461 word173 word480 word290 word45,negativa,negativa
word202 word158 word120 word59 word494 word215 word128 word224 word209 word370 word115 word209 word14 word9 word40 word450 word237 word281 word359 word201 word246 word278 word235 word494 word4 word154 word442 word29 word109 word98 word215 word293 word75 word326 word146 word128 word341 word42 word356 word41 word422 word34 word17 word165 word153 word486 word378 word76 word87 word117 word362 word342 word469 word27 word313 word287 word134 word219 word168 word98 word268 word237 word309 word455 word394 word173 word401 word410 word469 word476 word190 word122 word46 word64 word130 word310 word363 word193 word307 word181 word292 word371 word282 word29 word149 word267 word296 word11 word164 word113 word187 word295 word232 word227 word310 word98 word55 word111 word152 word246,negativa,negativa
word441 word386 word141 word126 word251 word388 word84 word434 word371 word48 word379 word78 word30 word285 word136 word140 word41 word486 word282 word50 word258 word311 word360 word440 word270 word134 word234 word128 word104 word254 word95 word337 word217 word61 word480 word268 word241 word13 word147 word428 word240 word89 word95 word315 word293 word25 word272 word166 word427 word497 word250 word87 word142 word134 word473 word279 word126 word316 word491 word396 word141 word356 word103 word226 word390 word63 word294 word384 word306 word254 word180 word40 word264 word189 word8 word104 word225 word34 word236 word463 word228 word188 word313 word483 word430 word22 word343 word40 word173 word439 word179 word86 word133 word351 word13,negativa,negativa
word471 word492 word38 word187 word385 word196 word243 word300 word303 word35 word215 word219 word316 word90 word308 word252 word8 word256 word363 word208 word425 word131 word224 word197 word468 word142 word252 word96 word26 word111 word454 word123 word186 word484 word168 word51 word379,negativa,negativa
word12 word335 word479 word15 word28 word388 word292 word375 word321 word250 word492 word98 word303 word337 word39 word38 word300 word179 word97 word380 word469 word282 word238 word164 word453 word97 word257 word309 word262,neutra,neutra
word329 word170 word456 word288 word399 word338 word215 word69 word370 word27 word225 word322 word234 word486 word443 word412 word408 word51 word149 word415 word75 word306 word92 word368 word424,positiva,positiva
word227 word460 word438 word325 word10 word489 word417 word397 word384 word355 word435 word288 word459 word112 word486 word24 word291 word339 word326 word168 word438 word109 word428 word190 word490 word355 word196 word33 word205 word312 word420 word182 word491 word147 word427 word268 word11 word70,neutra,neutra
word17 word283 word431 word258 word63 word62 word100 word19 word17 word325 word423 word466 word373 word246 word251 word455 word81 word39 word36 word424 word429 word388 word486 word409 word197 word158 word204 word196 word216 word285 word457 word196 word307 word152 word14 word325 word146 word426 word57 word211 word268 word210 word17 word286 word344 word203 word99 word279 word209 word129 word335 word288 word252 word265 word271 word412 word408 word188 word419 word214 word283 word211 word365 word76 word148 word321 word213 word433 word109 word129 word10 word47 word379 word315 word96 word446 word103 word380 word342 word146 word368 word430 word416 word27 word220 word18 word167 word433 word477 word82 word428 word72,negativa,negativa
word288 word369 word65 word162 word85 word415 word59 word462 word282 word150 word418 word481 word121 word269 word255 word224 word55 word136 word190 word406 word253 word489 word312 word84 word405 word354 word177 word94 word390 word35 word411 word212 word126 word369 word230 word168 word14 word74 word52 word362 word207 word296 word43 word368 word442 word3 word399 word429 word95 word395 word238 word167 word19 word207 word230 word404 word214 word455 word56 word334 word374 word132 word9 word231 word153 word431 word483 word485 word305 word411 word284 word472 word481 word481 word190 word16 word343 word430 word203 word174 word168 word339 word34 word471 word394 word229 word495,positiva,neutra
word46 word168 word445 word110 word46 word212 word28 word87 word291 word385 word157 word265 word265 word22 word256 word191 word450 word464 word232 word186 word326 word183 word397 word481 word403 word463 word417 word202 word65 word444 word396 word43 word221 word17 word324 word285 word183 word391 word44 word461 word389 word188 word390 word482 word263 word174 word441 word54 word220 word46 word394 word260 word195 word409 word471 word347 word462 word61 word166 word160 word151 word111 word488 word37 word3 word483 word13 word162 word344 word449 word332 word264 word83 word265 word412 word334 word380 word219 word146 word298 word297 word454 word161 word229 word234 word89 word333 word310 word215 word420 word97 word213 word354,neutra,neutra
word285 word137 word475 word366 word108 word68 word104 word401 word246 word165 word192 word195 word132 word296 word144 word395 word219 word26 word251 word95 word354 word200 word103 word193 word381 word2 word247 word91 word45 word427 word3 word418 word336 word449 word64 word135 word291 word278 word176 word416 word282,positiva,negativa
word486 word417 word220 word129 word8 word101 word416 word380 word176 word107 word101 word260 word478 word454 word366 word246 word275 word32 word137 word12 word395 word302 word375 word16 word129 word63 word109 word375 word21 word158 word269 word162 word260 word412 word102 word223 word59 word247 word128 word283 word325 word25 word131 word353 word196 word281 word404 word418 word154 word382 word133 word227 word189 word476 word477 word265 word372 word486 word434,negativa,negativa
word223 word89 word287 word434 word276 word236 word183 word209 word493 word130 word153 word13 word122 word359 word220 word106 word375 word70 word195 word186 word99 word82 word75 word374 word340 word192 word325 word467 word214 word315 word444 word467 word382 word367 word318 word144 word384 word216 word361 word324 word15 word217 word492 word439 word35 word183 word270 word433 word467 word358 word100 word7 word30 word467 word305 word473 word144 word111 word232 word179 word72 word210 word220 word80 word500 word83 word42 word273 word191 word173 word461 word7 word155 word10 word34 word36 word409 word6 word408 word402 word215 word134 word285 word126 word409 word439 word337 word174,negativa,negativa
word151 word211 word302 word86 word397 word253 word21 word257 word379 word403 word381 word444 word33 word260 word234 word3 word347 word308 word489 word227 word284 word70 word454 word439 word313 word364 word471 word254 word481 word144 word24 word453 word425 word234 word333 word175 word332 word325 word357 word159 word348 word348 word286 word18 word44 word155 word355 word410 word377 word231 word497 word371 word316 word402 word225 word217 word56 word31 word357 word59 word380 word386 word353 word423 word445,negativa,negativa
word370 word231 word95 word303 word218 word40 word387 word203 word116 word413 word91 word58 word434 word495 word10 word256 word317 word249 word483 word367 word377 word317 word407 word6 word331 word188 word235 word371 word411 word183 word287 word123 word158 word323 word13 word315 word54 word360 word277 word43 word267 word109 word323 word166 word351 word408 word106 word51 word204 word445 word302 word43 word283 word85 word217 word158 word350 word127 word191 word266 word387 word461 word60 word283 word466,positiva,positiva
word332 word357 word331 word197 word120 word248 word139 word226 word83 word410 word26 word128 word401 word223 word339 word44 word84 word407 word25 word220 word293 word204 word368 word193 word2 word202 word354 word32 word89 word202 word439 word178 word193 word160 word293 word204 word241 word115 word210 word222 word397 word182 word259 word469 word426 word462 word40 word330 word322 word60 word493 word485 word11 word120 word385 word410 word42 word190 word123 word189 word252 word461 word92 word484 word213 word318 word202 word268 word494 word155 word195 word28 word194 word412 word499 word223 word107 word149 word135 word498 word95 word270 word423 word374 word126 word359 word329 word471 word318 word12 word477 word294 word442 word440 word295 word342 word4 word304,positiva,positiva
word432 word296 word179 word80 word141 word474 word31 word372 word423 word63 word48 word87 word304 word61 word396 word334 word440 word274 word411 word284 word466 word80 word180 word272 word77 word442 word221 word393 word282 word28 word361 word77 word164 word9 word175 word462 word307 word76 word245 word122 word185 word32 word486 word451 word250 word57 word310 word372 word144 word318 word84 word480 word56 word279 word273 word464 word166 word456 word467 word158 word249 word186 word482 word78 word22 word108 word273 word252 word15 word370 word304 word160 word205 word469 word113 word168 word353 word253 word441 word186 word347 word227 word16 word156 word354 word111 word1 word41,neutra,neutra
word99 word97 word327 word73 word482 word256 word231 word170 word482 word333 word157 word419 word429 word458 word222 word364 word346 word99 word220 word413 word244 word454 word259 word477 word441 word194 word375 word150 word494 word367 word498 word155 word499 word22 word458 word116 word113 word433 word211 word24 word283 word292 word363 word401 word56 word266 word54 word337 word108 word202 word202 word422 word337 word383 word474 word218 word243 word354 word388 word178 word475 word61 word405 word36 word358 word46 word95 word327 word44 word320 word226 word146 word472 word269,positiva,positiva
word34 word166 word70 word364 word196 word133 word247 word382 word168 word454 word277 word156 word387 word23 word200 word275 word459 word50 word458 word186 word476 word20 word492 word116 word92 word349 word456 word339 word53 word496 word123 word341,positiva,positiva
word144 word77 word473 word478 word309 word440 word263 word185 word55 word308 word4 word299 word40 word230 word377 word286 word138 word478 word103 word7 word164 word419 word472 word423 word420 word365 word276 word49 word96 word59 word231 word177 word90 word282,neutra,neutra
word309 word59 word69 word446 word388 word86 word274 word227 word81 word498 word114 word184 word280 word322 word397 word318 word54 word399 word197 word387 word293 word293 word485 word387 word447 word291 word180 word471 word380 word412 word222 word274 word378 word244 word420 word417 word448 word154 word304 word424 word273 word424 word135 word313 word8 word128 word373 word56 word126 word159 word59,negativa,negativa
word360 word82 word118 word113 word295 word276 word257 word329 word265 word235 word51 word166 word231 word221 word271 word84 word230 word297 word222 word431 word154 word54 word119 word198 word423 word273 word198 word128 word92 word9 word475 word227 word46 word134 word452 word16 word215 word112 word343 word157 word425 word452 word318 word360 word376 word424 word446 word408 word390 word296 word198 word58 word398 word78 word242 word429 word367 word99 word6 word279 word318 word212 word273 word84 word112 word198 word360 word381 word28 word141 word413 word173 word20 word442 word465 word117 word54 word227,positiva,negativa
word66 word480 word351 word459 word342 word195 word114 word159 word161 word254 word472 word385 word428 word15 word37 word155 word486 word432 word27 word492 word12 word67 word30 word96 word215 word194 word135 word290 word32 word373 word39 word352 word427,neutra,neutra
word336 word494 word439 word138 word270 word359 word36 word34 word88 word146 word16 word233 word421 word41 word255 word281 word126 word8 word472 word468 word368 word350 word340 word402 word324 word176 word228 word454 word323 word402 word367 word488 word18 word56 word407 word35 word390 word118 word282 word254 word213 word61 word88 word271 word347 word32 word396 word133 word64 word199 word256 word342 word155 word463 word231 word301 word35 word26 word23 word141 word474 word387 word285,neutra,neutra
word487 word280 word188 word302 word19 word68 word218 word102 word42 word288 word167 word109 word494 word36 word232 word229 word353 word164 word387 word73 word136 word353 word379 word70 word425 word487 word196 word269 word49 word316 word130 word444 word5 word428 word27 word160 word149 word264 word230 word200 word50 word67 word300 word381 word58 word259 word342 word326 word130 word215 word172 word258 word102 word209 word291 word354 word471 word286 word116 word264 word150 word300 word442 word36 word453 word333 word477 word287 word303 word311 word208 word106 word446 word158 word121 word55 word400 word12 word145 word400 word396 word136 word468 word3 word144 word30 word237 word279 word348 word115 word104 word118 word5 word468,negativa,negativa
word460 word85 word106 word400 word356 word99 word9 word6 word108 word449 word462 word152 word394 word338 word237 word457 word27 word119 word211 word100 word3 word294 word457 word330 word329 word17 word106 word230 word304 word177 word427 word84 word263 word196 word249 word382 word458 word149 word206 word409 word81 word189 word412,neutra,negativa
word187 word319 word367 word89 word187 word307 word434 word132 word360 word123 word48 word288 word376 word179 word180 word99 word330 word34 word420 word70 word171 word366 word272 word59 word181 word19 word226 word473 word95 word369 word297 word81 word175 word222 word103 word54 word183 word351 word403 word318 word355 word349 word443 word321 word68 word28 word274 word282 word360 word403 word311 word119 word380 word441 word134 word129 word8 word481 word51 word491 word341 word472 word281 word175 word183 word192 word249 word235 word83 word93 word373 word394 word312 word268 word417,negativa,negativa
word292 word148 word319 word80 word191 word453 word344 word30 word414 word359 word368 word495 word229 word481 word84 word150 word361 word189 word21 word37 word246 word283 word102 word419 word294 word232 word316 word326 word288 word336,neutra,neutra
word27 word116 word418 word142 word41 word106 word74 word60 word298 word122 word435 word203 word11 word419 word147 word216 word374 word321 word460 word445 word303 word14 word67 word180 word365 word242 word160 word464 word486 word10 word124 word273 word241 word424 word452 word447 word143 word353 word167 word57 word138 word327 word353 word17 word332 word273 word367 word376 word400 word375 word334 word3 word243 word108 word51 word370 word350 word174 word116 word183 word361 word355 word154 word247,positiva,positiva
word315 word49 word60 word6 word148 word287 word211 word372 word150 word85 word466 word160 word47 word162 word499 word155 word230 word300 word158 word161 word411 word247 word56 word151 word299 word467 word54 word223 word254 word68 word53 word467 word245 word486 word40 word444 word342 word393 word351 word138 word266 word414 word138 word442 word292 word210 word172 word185 word299 word240 word211 word363 word151 word388 word396 word124 word49 word408 word397 word124 word68 word475 word358 word231 word456 word346 word418 word9 word266 word125 word371 word321 word112 word498 word328 word330 word54 word427 word497 word443 word89 word95 word359 word250 word443 word451 word317 word487 word166 word227 word136 word384 word65 word5 word120 word371 word219 word365 word474,neutra,negativa
word128 word185 word58 word143 word400 word97 word47 word191 word140 word103 word231 word427 word340 word413 word491 word49 word387 word112 word453 word316 word322 word87 word382 word474 word282 word327 word252 word74 word453 word47 word76 word96 word426 word31 word22 word17 word212 word148 word235 word392 word495 word354 word305 word87 word38 word53 word28,neutra,neutra
word145 word38 word28 word289 word408 word367 word237 word126 word384 word326 word85 word237 word246 word388 word417 word375 word266 word249 word292 word205 word228 word240 word73 word159 word388 word378 word212 word136 word283 word164 word137 word171 word152 word165 word297 word104 word222 word282 word388 word372 word129 word404 word220 word173 word472 word348 word476 word453 word96 word52 word94 word64 word21 word106 word336 word200 word332 word352 word281 word451 word282 word100 word337 word27 word245 word436 word63 word342 word374 word429 word442 word38 word419 word302 word127 word71 word387 word134 word253 word13 word174 word463 word90 word368,neutra,positiva
word194 word417 word360 word349 word388 word338 word311 word408 word416 word329 word47 word144 word149 word350 word323 word353 word415 word120 word493 word398 word134 word197 word413 word439 word37 word187 word420 word213 word460 word110 word187 word471 word78 word448 word427 word374 word298 word330 word125 word316 word446 word320 word475 word489 word314 word2 word334 word71 word465 word376 word212 word8 word184 word468 word164 word453 word269 word295 word358 word81 word262 word275 word409 word387 word105 word309 word28 word410 word47 word392 word313 word55 word79 word1 word168 word23 word228 word438 word298 word464 word434 word260 word264 word164,positiva,negativa
word320 word156 word471 word420 word113 word390 word139 word422 word374 word418 word209 word323 word364 word430 word482 word86 word285 word60 word54 word93 word325 word458 word458 word373 word265 word382 word213 word333 word10 word358 word203 word196 word58 word494 word256 word223 word369 word180 word418 word362 word35 word359 word103 word161 word200 word160 word183 word353 word136 word430 word398 word226 word392 word243 word106 word71 word77 word54 word277 word111 word224 word75 word14 word459 word258 word482 word189 word364 word239 word401 word334 word473 word304 word91 word392 word184 word17 word453 word12 word166 word146 word282 word479 word37 word70,neutra,neutra
word279 word476 word482 word5 word82 word119 word262 word125 word426 word303 word215 word28 word489 word269 word498 word25 word7 word194 word80 word442 word322 word36 word258 word113 word294 word202 word14 word155 word399,neutra,negativa
word443 word490 word103 word273 word14 word159 word152 word483 word108 word188 word301 word98 word131 word293 word171 word424 word474 word183 word471 word364 word39 word15 word376 word497 word4 word349 word470 word409 word397 word210 word161 word16 word493 word426 word108 word382 word450,negativa,negativa
word275 word101 word44 word443 word305 word445 word17 word330 word57 word311 word497 word303 word12 word318 word80 word216 word339 word264 word479 word149 word81 word215 word485 word374 word464 word198 word200 word25 word466 word89 word268,negativa,negativa
word271 word94 word307 word27 word214 word74 word61 word186 word31 word219 word12 word302 word415 word32 word160 word489 word237 word227 word181 word317 word46 word341 word458 word80 word135 word260 word475 word308 word247 word473 word159 word203 word112 word468 word292 word438 word310 word119 word383 word17 word493 word331 word414 word227 word361 word486 word406 word117 word43 word368 word115 word283 word37 word302 word113 word35 word132 word336 word336 word469 word410 word377 word228 word147 word122 word81 word173 word154 word150 word375 word58 word63 word156 word449 word428 word356 word427 word421 word322 word401,negativa,negativa
